actual,Shirts,Jeans,Track Pants,Tshirts,Casual Shoes,Tops,Formal Shoes,Flats,Sports Shoes,Shorts,Heels,Dresses,Skirts,Trousers,Jackets,Sweaters
Shirts,119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jeans,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Track Pants,0,1,59,0,0,0,0,0,0,1,0,0,0,0,0,0
Tshirts,0,0,0,115,0,4,0,0,0,0,0,0,0,0,0,1
Casual Shoes,0,0,0,0,117,0,0,0,2,0,1,0,0,0,0,0
Tops,0,0,0,4,0,115,0,0,0,0,0,0,0,0,0,1
Formal Shoes,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
Flats,0,0,0,0,1,0,0,90,0,0,9,0,0,0,0,0
Sports Shoes,0,0,0,0,3,0,0,0,117,0,0,0,0,0,0,0
Shorts,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
Heels,0,0,0,0,0,0,0,5,0,0,115,0,0,0,0,0
Dresses,0,0,0,0,0,1,0,0,0,0,0,92,0,0,0,0
Skirts,0,0,0,0,0,0,0,0,0,1,0,1,24,0,0,0
Trousers,0,1,0,0,0,0,0,0,0,0,0,0,0,105,0,0
Jackets,0,0,0,0,0,2,0,0,0,0,0,0,0,0,49,1
Sweaters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
