id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
28519,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Sports,Nike Men Breakline Black Track Pants
31672,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Spykar Men Blue Jeans
21747,Unisex,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Vans Unisex  Era Black Casual Shoes
47545,Women,Footwear,Shoes,Flats,Maroon,Winter,2012.0,Casual,Portia Women Maroon & Silver Flats
9398,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Men Lunarfly Black Sports Shoes
26835,Men,Apparel,Bottomwear,Trousers,Brown,Summer,2012.0,Casual,Highlander Men Brown Trousers
17626,Men,Apparel,Topwear,Jackets,White,Fall,2011.0,Sports,ADIDAS Men Solid White Jacket
11344,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Blue Chicago Fit Jeans
31971,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Summer,2012.0,Sports,Nike Men Dual Fusion TR II Navy Blue Sports Shoes
50161,Women,Footwear,Shoes,Heels,White,Winter,2014.0,Casual,Rocia Women White Wedges
48391,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Casual,French Connection Men Grey Trousers
31783,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Lee Women Purple Paula Pansy Top
7386,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men's Black Formal Shoe
43224,Women,Apparel,Bottomwear,Trousers,Black,Fall,2012.0,Formal,United Colors of Benetton Women Black Trouser
7136,Men,Apparel,Bottomwear,Track Pants,Green,Fall,2011.0,Casual,Urban Yoga Men Bottom Olive Green Yoga Pants
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Short Black Shirts
33823,Women,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Puma Women Axis Grey Sports Shoes
