id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,label_name
24098,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Red Tape Men Black Sandals,Shoes
56844,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,John Players Men Blue Jeans,Bottomwear
47236,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013.0,Casual,Playboy Men Brown Low Cut Lace Up Shoes,Shoes
36051,Unisex,Accessories,Bags,Handbags,Green,Fall,2012.0,Casual,OTLS Unisex Green Dual Flap Bag,Accessories
46402,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,ADIDAS Men Blue & Orange T-shirt,Topwear
3382,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Brown Solid Shoulder Bag,Accessories
13689,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2013.0,Sports,Reebok Men Premier Zigfly Sports Shoes,Shoes
38930,Girls,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Gini and Jony Girls Blue Jeans,Bottomwear
33504,Women,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,Doodle Kids Girl Printed Pink Dress,Dress
53408,Women,Apparel,Topwear,Kurtas,Beige,Fall,2012.0,Ethnic,Alma Women Beige Printed Kurta,Topwear
11307,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Wrangler Women Blue Michelle Jeans,Bottomwear
23041,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,Arrow Men Navy Grey Trousers,Bottomwear
11572,Women,Apparel,Topwear,Kurtas,White,Summer,2011.0,Ethnic,W Women Printed White Kurtas,Topwear
45777,Women,Apparel,Dress,Dresses,Red,Summer,2012.0,Casual,Remanika Women Red Dress,Dress
40997,Girls,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Gini and Jony  Girls Woven Black Jeans,Bottomwear
59991,Women,Apparel,Dress,Dresses,Multi,Fall,2012.0,Casual,Avirate Multicoloured Dress,Dress
33425,Women,Accessories,Bags,Handbags,Brown,Fall,2012.0,Casual,Baggit Women Brown Sling Bag,Accessories
21747,Unisex,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Vans Unisex  Era Black Casual Shoes,Shoes
14879,Women,Accessories,Bags,Handbags,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Handbags,Accessories
31050,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Arrow Sport Men Check Navy Blue Shirt,Topwear
48252,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,The Amazing Spiderman Boys Yellow T-shirt,Topwear
7184,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,Jealous 21 Women's Lost White Top,Topwear
43653,Women,Apparel,Dress,Dresses,Peach,Summer,2012.0,Casual,ONLY Women Peach Dress,Dress
41774,Women,Apparel,Dress,Dresses,Navy Blue,Summer,2012.0,Casual,Remanika Women Navy Blue Dress,Dress
47581,Women,Footwear,Shoes,Flats,Maroon,Winter,2012.0,Casual,Portia Women Silver & Maroon Flats,Shoes
19256,Men,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Guess Men Focus Steel Watch,Accessories
43227,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,United Colors of Benetton Women Brown Handbag,Accessories
14176,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Casual,Belmonte Men Thread Black Belts,Accessories
13778,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Casual,Belmonte Men Solid Grey Trousers,Bottomwear
22607,Men,Apparel,Bottomwear,Shorts,Navy Blue,Fall,2011.0,Sports,Nike Men Navy Blue Shorts,Bottomwear
57994,Women,Apparel,Dress,Dresses,Brown,Fall,2012.0,Casual,Latin Quarters Women Brown Printed Dress,Dress
10289,Women,Footwear,Shoes,Heels,Black,Fall,2012.0,Casual,Clarks Women Soma Silk Leather Black Heels,Shoes
29835,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,Basics Men Brown Checked Slim Fit Shirt,Topwear
3346,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's You Are Not My Type Black T-shirt,Topwear
49613,Women,Footwear,Shoes,Heels,Multi,Winter,2015.0,Casual,Catwalk Women Multi Coloured Heels,Shoes
56348,Men,Accessories,Watches,Watches,Navy Blue,Winter,2016.0,Casual,Fastrack Men Navy Blue Watch,Accessories
6208,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Lee Men's Hand Green T-shirt,Topwear
29056,Women,Apparel,Bottomwear,Track Pants,Grey,Summer,2012.0,Sports,ADIDAS Women Grey Track Pants,Bottomwear
15696,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Black coffee Men George White Shirts,Topwear
15508,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Rockport Men Cape Noble Brown Casual Shoes,Shoes
35701,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men City Court VI White Sports Shoes,Shoes
19767,Unisex,Accessories,Watches,Watches,Peach,Winter,2016.0,Casual,Ice Unisex Sili Peach Watch,Accessories
48042,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Nautica Men Black Dial Chronograph Watch,Accessories
15054,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Franco Leone Men Black Formal Shoe,Shoes
31127,Girls,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Dress,Dress
15289,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011.0,Sports,FILA Women DLS Spry Silver Sports Shoes,Shoes
59977,Women,Apparel,Dress,Dresses,Navy Blue,Fall,2012.0,Casual,Avirate Women Navy Blue Dress,Dress
50820,Men,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,New Hide Men Brown Wallet,Accessories
8022,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Sports,Fila Men's Single Tipped Woven Navy White Track Pant,Bottomwear
31167,Girls,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Gini and Jony Girls Blue Dress,Dress
31673,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Spykar Men Washed Blue Jeans,Bottomwear
49585,Women,Footwear,Shoes,Heels,Beige,Winter,2015.0,Casual,Catwalk Women Beige Heels,Shoes
11354,Men,Apparel,Bottomwear,Jeans,Blue,Spring,2013.0,Casual,Lee Men Mickey Blue Powell Fit Jeans,Bottomwear
38841,Women,Apparel,Dress,Dresses,Brown,Summer,2012.0,Casual,Latin Quarters Women Brown Check Dress,Dress
57041,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Party,Elle Black Sheath Dress,Dress
4085,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Inkfruit Men's Dark Poison White T-shirt,Topwear
31126,Girls,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,Gini and Jony Girls White Dress,Dress
20927,Unisex,Accessories,Bags,Handbags,Black,Winter,2016.0,Casual,Fastrack Unisex Polyester Black HandBag,Accessories
42730,Women,Footwear,Shoes,Flats,Gold,Winter,2012.0,Casual,Rocia Women Golden Sandals,Shoes
24024,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Locomotive Men Printed Black T-shirt,Topwear
25283,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Lino Perros Women Check Brown Handbag,Accessories
45579,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Arrow Men Black Sandals,Shoes
2191,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2010.0,Sports,ADIDAS Men Chelsea Lead Short,Bottomwear
27608,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Casual,Scullers Men Black Trousers,Bottomwear
41237,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Arrow Men Black Belt,Accessories
17945,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Sports,Puma Men No. 1 logo Black Track Pant,Bottomwear
46486,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Timex Men Black Dial Chronograph Watch,Accessories
43917,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012.0,Casual,Femella Women Blue Trousers,Bottomwear
25157,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Lino Perros Women Leatherette Black Handbag,Accessories
34524,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Red Tape Men Brown Sandals,Shoes
49634,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Mineral Blue Dress,Dress
21947,Women,Accessories,Bags,Handbags,Red,Winter,2015.0,Casual,Murcia Women Red Leatherite Handbag,Accessories
44441,Men,Footwear,Sandal,Sandals,Brown,Summer,2013.0,Casual,Gliders Men Brown Davis Sandals,Shoes
19600,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,United Colors of Benetton Women Black Printed Top,Topwear
57991,Women,Apparel,Dress,Dresses,Blue,Fall,2012.0,Casual,Latin Quarters Women Blue Dress,Dress
25676,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Women Black Casual Watch,Accessories
50214,Women,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Stoln Women Brown Belt,Accessories
22151,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Lee Cooper Men Black Casual Sandals,Shoes
2203,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Adidas Men Blue Polo T-shirt,Topwear
4987,Women,Apparel,Dress,Dresses,White,Summer,2011.0,Casual,Gini and Jony Girl's Viveca White Floral Kidswear,Dress
25663,Women,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Fastrack Women Pink Dial Watch,Accessories
35573,Men,Footwear,Flip Flops,Flip Flops,Blue,Summer,2013.0,Casual,Gliders Men Esquire Blue Flip Flops,Shoes
22846,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Woodland Men Khaki Casual Shoes,Shoes
57058,Women,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,Elle Women Multi Coloured Dress,Dress
20271,Women,Footwear,Shoes,Flats,Black,Winter,2015.0,Casual,Catwalk Women Black Shoe,Shoes
18026,Women,Accessories,Wallets,Wallets,Pink,Winter,2015.0,Casual,Lino Perros Women Solid Pink Wallet,Accessories
36732,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Spykar Women Liana Blue Jeans,Bottomwear
44470,Women,Footwear,Shoes,Flats,Silver,Summer,2012.0,Casual,Senorita Women Green & Silver Colored Sandals,Shoes
20029,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Solid Grey Shirt,Topwear
57153,Women,Apparel,Topwear,Tshirts,Peach,Summer,2012.0,Casual,Elle Women Peach T-shirt,Topwear
39012,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2012.0,Sports,Fila Men Black Sports Shoes,Shoes
21538,Women,Accessories,Bags,Handbags,Purple,Winter,2015.0,Casual,Kiara Women Flower  Purple Handbag,Accessories
4219,Boys,Apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Disney Kids Boy's Orange Colour Blast Kidswear,Topwear
34882,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Envirosax Women Red Bag,Accessories
58490,Women,Apparel,Dress,Dresses,White,Fall,2012.0,Casual,Tonga Women White Dress,Dress
40100,Men,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,ADIDAS Men Orange T-shirt,Topwear
36915,Men,Accessories,Wallets,Wallets,Brown,Winter,2016.0,Casual,Fossil Men Brown Wallet,Accessories
29407,Men,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Giordano Men Blue Dial Watch,Accessories
42527,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Mother Earth Women Blue Kurta,Topwear
